Name,UserId,SocialAccount,Gender,Score,Comments,Followers,Followings,CreatedPosts
vutlonq,60ebe6ff3583b555c24e6c8f,https://www.facebook.com/vankhoa.thu/,1,878,0,209,0,59
lilbeevn317,652105364e1c1b0675229d8f,,1,33,0,4,0,9
spidermanduc,652aa792218db718b7bdd415,,1,67,6,15,17,5
harrypy2024,667126b5ef0c08034b493470,,0,4,0,1,0,1
andreasvu1998,64cb69ec5144604269f464f3,https://www.facebook.com/profile.php?id=100028101427320,1,246,24,95,0,14
Nguyenphale,60ebe6fb3583b555c24e6635,https://www.facebook.com/phale.nguyen.1441/,1,54,25,7,5,7
Phucam1999,60ebe6863583b555c24dc08f,,1,308,180,34,16,13
BongPham233,66403797da477fce1ebae2da,,1,28,1,11,0,3
narcynguyen,63e209a9ac6ce8aebd3d8c20,,2,577,283,120,37,40
trieuduong,66299d0eda477fce1ebac115,,1,24,7,2,0,5
Mottieutu,60ebe6c63583b555c24e1bbe,https://www.facebook.com/saigonbooks,2,111,0,30,0,63
quachthaicong,62e75cc40668a9fb681118ab,,1,1941,0,488,0,54
dhlam79,61060e1c2b274ba68b87defe,,1,3,2,0,0,1
DungEz,60ebe69e3583b555c24de343,https://www.facebook.com/dungez2411,1,650,77,233,6,20
_justlyly_,60ebe6753583b555c24da854,,2,329,20,118,45,30
hanhnguyen1123,6539ffc9e1565cb90a80f793,,2,5,0,0,0,7
trinhnnattuan,60ebe6413583b555c24d5ed3,https://www.facebook.com/paracetamolhonmoixa,1,2393,0,0,0,187
Phamdangbku,60ebe6b33583b555c24e00bd,,1,128,6,37,2,28
tasynguyen,60ebe6553583b555c24d7c4d,,1,732,0,175,0,61
